code_udi,sentence,population
001000003,Votre réseau alimente de façon permanente 2833 personnes.,2833
001000235,Votre réseau alimente de façon permanente 113 personnes.,113
001000241,Votre réseau alimente de façon permanente 17207 personnes.,17207
001000244,Votre réseau alimente de façon permanente 244 personnes.,244
001000248,Votre réseau alimente de façon permanente 1000 personnes.,1000
001000249,Votre réseau alimente de façon permanente 2094 personnes.,2094
001000250,Votre réseau alimente de façon permanente 1908 personnes.,1908
001000251,Votre réseau alimente de façon permanente 12288 personnes.,12288
001000252,Votre réseau alimente de façon permanente 374 personnes.,374
001000253,Votre réseau alimente de façon permanente 374 personnes.,374
001000254,Votre réseau alimente de façon permanente 392 personnes.,392
001000255,Votre réseau alimente de façon permanente 376 personnes.,376
001000258,Votre réseau alimente de façon permanente 1561 personnes.,1561
001000260,Votre réseau alimente de façon permanente 1035 personnes.,1035
001000261,Votre réseau alimente de façon permanente 66 personnes.,66
001000265,Votre réseau alimente de façon permanente 143 personnes.,143
001000268,Votre réseau alimente de façon permanente 393 personnes.,393
001000269,Votre réseau alimente de façon permanente 120 personnes.,120
001000272,Votre réseau alimente de façon permanente 334 personnes.,334
001000273,Votre réseau alimente de façon permanente 111 personnes.,111
001000275,Votre réseau alimente de façon permanente 26 personnes.,26
001000277,Votre réseau alimente de façon permanente 9207 personnes.,9207
001000278,Votre réseau alimente de façon permanente 2251 personnes.,2251
001000279,Votre réseau alimente de façon permanente 324 personnes.,324
001000283,Votre réseau alimente de façon permanente 267 personnes.,267
001000284,Votre réseau alimente de façon permanente 218 personnes.,218
001000285,Votre réseau alimente de façon permanente 897 personnes.,897
001000288,Votre réseau alimente de façon permanente 250 personnes.,250
001000289,Votre réseau alimente de façon permanente 59 personnes.,59
001000290,Votre réseau alimente de façon permanente 995 personnes.,995
001000293,Votre réseau alimente de façon permanente 113 personnes.,113
001000294,Votre réseau alimente de façon permanente 9 personnes.,9
001000297,Votre réseau alimente de façon permanente 637 personnes.,637
001000298,Votre réseau alimente de façon permanente 443 personnes.,443
001000303,Votre réseau alimente de façon permanente 519 personnes.,519
001000304,Votre réseau alimente de façon permanente 1269 personnes.,1269
001000305,Votre réseau alimente de façon permanente 1088 personnes.,1088
001000307,Votre réseau alimente de façon permanente 1135 personnes.,1135
001000310,Votre réseau alimente de façon permanente 319 personnes.,319
001000311,Votre réseau alimente de façon permanente 319 personnes.,319
001000312,Votre réseau alimente de façon permanente 52 personnes.,52
001000313,Votre réseau alimente de façon permanente 171 personnes.,171
001000314,Votre réseau alimente de façon permanente 249 personnes.,249
001000315,Votre réseau alimente de façon permanente 819 personnes.,819
001000316,Votre réseau alimente de façon permanente 220 personnes.,220
001000317,Votre réseau alimente de façon permanente 150 personnes.,150
001000320,Votre réseau alimente de façon permanente 1095 personnes.,1095
001000321,Votre réseau alimente de façon permanente 651 personnes.,651
001000322,Votre réseau alimente de façon permanente 2254 personnes.,2254
001000324,Votre réseau alimente de façon permanente 1434 personnes.,1434
001000326,Votre réseau alimente de façon permanente 1590 personnes.,1590
001000328,Votre réseau alimente de façon permanente 136 personnes.,136
001000330,Votre réseau alimente de façon permanente 159 personnes.,159
001000331,Votre réseau alimente de façon permanente 113 personnes.,113
001000332,Votre réseau alimente de façon permanente 20 personnes.,20
001000335,Votre réseau alimente de façon permanente 116 personnes.,116
001000336,Votre réseau alimente de façon permanente 446 personnes.,446
001000337,Votre réseau alimente de façon permanente 50 personnes.,50
001000338,Votre réseau alimente de façon permanente 508 personnes.,508
001000341,Votre réseau alimente de façon permanente 150 personnes.,150
001000346,Votre réseau alimente de façon permanente 895 personnes.,895
001000347,Votre réseau alimente de façon permanente 384 personnes.,384
001000350,Votre réseau alimente de façon permanente 1006 personnes.,1006
001000353,Votre réseau alimente de façon permanente 3004 personnes.,3004
001000356,Votre réseau alimente de façon permanente 395 personnes.,395
001000358,Votre réseau alimente de façon permanente 135 personnes.,135
001000359,Votre réseau alimente de façon permanente 71 personnes.,71
001000361,Votre réseau alimente de façon permanente 1590 personnes.,1590
001000362,Votre réseau alimente de façon permanente 261 personnes.,261
001000363,Votre réseau alimente de façon permanente 122 personnes.,122
001000369,Votre réseau alimente de façon permanente 262 personnes.,262
001000373,Votre réseau alimente de façon permanente 32 personnes.,32
001000374,Votre réseau alimente de façon permanente 24 personnes.,24
001000375,Votre réseau alimente de façon permanente 32 personnes.,32
001000376,Votre réseau alimente de façon permanente 4 personnes.,4
001000379,Votre réseau alimente de façon permanente 1082 personnes.,1082
001000380,Votre réseau alimente de façon permanente 6132 personnes.,6132
001000382,Votre réseau alimente de façon permanente 1117 personnes.,1117
001000383,Votre réseau alimente de façon permanente 1332 personnes.,1332
001000386,Votre réseau alimente de façon permanente 625 personnes.,625
001000387,Votre réseau alimente de façon permanente 125 personnes.,125
001000388,Votre réseau alimente de façon permanente 97 personnes.,97
001000389,Votre réseau alimente de façon permanente 162 personnes.,162
001000392,Votre réseau alimente de façon permanente 3296 personnes.,3296
